input_res,input_chans,latency,fps,iou,size
512x512,3,0.2169,4.6104,0.9792,"4,208"
256x256,3,0.0611,16.3667,0.5440,"4,208"
224x224,3,0.0467,21.4133,0.4361,"4,208"
192x192,3,0.0355,28.1690,0.2583,"4,208"
160x160,3,0.0265,37.7358,0.2137,"4,208"
128x128,3,0.0164,60.9756,0.2208,"4,208"
96x96,3,0.0117,85.4701,0.1602,"4,208"
512x512pt,3,0.2177,4.5934,0.9788,"4,208"
256x256pt,3,0.0639,15.6495,0.9729,"4,208"
224x224pt,3,0.0467,21.4133,0.9708,"4,208"
192x192pt,3,0.0350,28.5714,0.9723,"4,208"
160x160pt,3,0.0260,38.4615,0.9641,"4,208"
128x128pt,3,0.0165,60.6061,0.9564,"4,208"
96x96pt,3,0.0119,84.0336,0.9393,"4,208"
